pair,price,source,volume
BTC/USDT,$9095.87,Binance,"$252,391,000"
BTC/USDT,$9099.97,OKEx,"$240,513,000"
BTC/USD,$9087.90,Bitfinex,"$166,336,000"
EOS/BTC,$9070.13,Binance,"$145,803,000"
BTC/KRW,$9268.81,Upbit,"$105,744,000"
TRX/BTC,$9034.56,Binance,"$104,558,000"
BTC/USDT,$9068.29,Huobi,"$100,807,000"
BTC/JPY,$9081.84,bitFlyer,"$98,039,400"
XVG/BTC,$9096.19,Binance,"$93,106,800"
EOS/BTC,$9083.56,OKEx,"$88,514,500"
BTC/USD,$9077.27,Bitstamp,"$86,790,800"
BTC/CNY,$9205.27,OEX,"$85,778,400"
BTC/CKUSD,$9325.96,BCEX,"$84,387,600"
ETH/BTC,$9062.05,Binance,"$84,177,300"
BTC/USD,$9080.00,BTCC,"$82,446,400"
BTC/JPY,$9081.64,BTCBOX,"$72,434,200"
ETH/BTC,$9045.27,OKEx,"$70,827,300"
BTC/KRW,$9258.59,Bithumb,"$67,611,200"
BCH/BTC,$9028.08,HitBTC,"$65,106,000"
VET/BTC,$9046.73,Lbank,"$64,728,300"
BTC/USD,$9065.00,GDAX,"$63,389,000"
ADA/BTC,$9101.16,Binance,"$62,601,700"
BCH/BTC,$9030.00,OKEx,"$61,616,200"
QTUM/BTC,$9110.61,Lbank,"$55,765,300"
XRP/BTC,$9043.70,Binance,"$55,601,600"
MITH/BTC,$8781.49,OKEx,"$55,235,500"
BCH/BTC,$9071.69,Lbank,"$51,860,300"
BCC/BTC,$8991.77,EXX,"$50,397,800"
BCC/BTC,$9032.14,Binance,"$49,077,100"
TRX/BTC,$9071.10,Bit-Z,"$48,832,600"
ETH/BTC,$9080.64,EXX,"$48,642,300"
BTC/USD,$9074.39,Simex,"$46,941,600"
TRUE/BTC,$9104.69,OKEx,"$46,748,600"
BTC/EUR,$9097.67,Kraken,"$44,894,500"
BTC/USDT,$9104.70,CoinBene,"$44,220,300"
RDD/BTC,$8990.27,Upbit,"$44,154,800"
BTC/USD,$9090.00,Kraken,"$42,632,700"
ONT/BTC,$9089.26,Binance,"$41,854,000"
CTXC/BTC,$9143.37,Huobi,"$41,606,400"
XVG/BTC,$9117.03,Upbit,"$41,292,400"
BTC/USD,$9074.76,itBit,"$39,069,400"
SRN/BTC,$9107.53,Bittrex,"$39,033,500"
XVG/BTC,$9096.19,Bittrex,"$35,788,900"
ETH/BTC,$9058.88,Bit-Z,"$35,709,800"
ETC/BTC,$9089.72,OKEx,"$34,870,600"
TRX/BTC,$9052.79,OKEx,"$34,028,100"
BCH/BTC,$9046.24,Bit-Z,"$33,126,300"
EOS/BTC,$9078.81,Huobi,"$31,582,200"
RDD/BTC,$8990.27,Bittrex,"$31,526,400"
LTC/BTC,$9071.46,OKEx,"$30,629,800"
ETH/BTC,$9193.40,BCEX,"$29,972,800"
NEO/BTC,$9057.21,Binance,"$29,106,600"
ETH/BTC,$9040.76,HitBTC,"$28,984,800"
EKT/BTC,$9123.98,Bit-Z,"$27,898,400"
IOTA/BTC,$9035.23,Binance,"$25,751,700"
ICX/BTC,$9134.37,Binance,"$25,070,700"
BNB/BTC,$9063.90,Binance,"$24,845,100"
HSR/BTC,$9008.97,OKEx,"$23,808,800"
ELF/BTC,$9159.46,Binance,"$23,782,400"
XLM/BTC,$9109.04,Binance,"$23,186,500"
LTC/BTC,$9070.13,Bit-Z,"$22,690,200"
EOS/BTC,$9053.62,Bitfinex,"$22,664,000"
BTC/CNY,$9152.46,TOPBTC,"$22,457,500"
LOOM/BTC,$8956.44,Binance,"$22,110,900"
STORM/BTC,$9149.26,Binance,"$21,370,100"
ETH/BTC,$8878.95,Simex,"$21,340,000"
ETH/BTC,$9060.83,RightBTC,"$20,980,400"
ETH/BTC,$9081.37,CoinEgg,"$20,877,400"
BTM/BTC,$9088.47,Bibox,"$20,707,400"
BIX/BTC,$9006.28,Bibox,"$20,402,800"
ETH/BTC,$9053.77,Coinhub,"$20,257,000"
