Date,Close_Price
11/1/16,729.27
11/2/16,742.46
11/3/16,687.51
11/4/16,702.54
11/5/16,704.16
11/6/16,712.24
11/7/16,704.02
11/8/16,709.15
11/9/16,721.19
11/10/16,713.67
11/11/16,716.56
11/12/16,703.55
11/13/16,702.5
11/14/16,706.39
11/15/16,711.96
11/16/16,742.07
11/17/16,735.41
11/18/16,749.68
11/19/16,750.63
11/20/16,728.61
11/21/16,736.72
11/22/16,748.22
11/23/16,741.6
11/24/16,736.4
11/25/16,738.28
11/26/16,732.82
11/27/16,728.42
11/28/16,731.75
11/29/16,731.76
11/30/16,742.01
12/1/16,753.25
12/2/16,771.41
12/3/16,764.97
12/4/16,766.46
12/5/16,750.71
12/6/16,758.81
12/7/16,763.9
12/8/16,766.75
12/9/16,770.41
12/10/16,773.21
12/11/16,768.62
12/12/16,777.91
12/13/16,775.25
12/14/16,776.64
12/15/16,775.48
12/16/16,780.85
12/17/16,788.58
12/18/16,788.59
12/19/16,790.16
12/20/16,798.78
12/21/16,833.1
12/22/16,858.74
12/23/16,916.79
12/24/16,894.2
12/25/16,894.48
12/26/16,902.55
12/27/16,931.11
12/28/16,978.01
12/29/16,969.62
12/30/16,960.47
12/31/16,968.23
1/1/17,997.69
1/2/17,1018.05
1/3/17,1030.82
1/4/17,1129.87
1/5/17,1005.81
1/6/17,895.67
1/7/17,905.17
1/8/17,913.52
1/9/17,899.35
1/10/17,904.79
1/11/17,775.98
1/12/17,802.83
1/13/17,826.12
1/14/17,818.64
1/15/17,822.42
1/16/17,830.26
1/17/17,904.45
1/18/17,884.25
1/19/17,898.02
1/20/17,891.62
1/21/17,920.01
1/22/17,925.33
1/23/17,912.69
1/24/17,885.65
1/25/17,894.11
1/26/17,915.1
1/27/17,918.56
1/28/17,920.28
1/29/17,914.04
1/30/17,920.24
1/31/17,967.67
2/1/17,987.35
2/2/17,1007.79
2/3/17,1018.11
2/4/17,1033.65
2/5/17,1013.99
2/6/17,1024.61
2/7/17,1052.54
2/8/17,1054.34
2/9/17,988.95
2/10/17,993.08
2/11/17,1010.0
2/12/17,999.51
2/13/17,996.86
2/14/17,1009.25
2/15/17,1009.12
2/16/17,1034.08
2/17/17,1053.12
2/18/17,1058.41
2/19/17,1052.82
2/20/17,1083.24
2/21/17,1123.66
2/22/17,1122.19
2/23/17,1178.38
2/24/17,1180.92
2/25/17,1151.58
2/26/17,1179.97
2/27/17,1194.28
2/28/17,1190.89
3/1/17,1230.02
3/2/17,1260.92
3/3/17,1290.79
3/4/17,1267.68
3/5/17,1277.68
3/6/17,1280.87
3/7/17,1232.43
3/8/17,1150.48
3/9/17,1191.81
3/10/17,1117.02
3/11/17,1181.64
3/12/17,1229.5
3/13/17,1243.24
3/14/17,1246.31
3/15/17,1259.6
3/16/17,1172.91
3/17/17,1070.13
3/18/17,970.6
3/19/17,1017.8
3/20/17,1041.34
3/21/17,1115.04
3/22/17,1037.44
3/23/17,1029.95
3/24/17,935.95
3/25/17,964.69
3/26/17,965.23
3/27/17,1040.49
3/28/17,1044.25
3/29/17,1040.39
3/30/17,1037.53
3/31/17,1079.75
4/1/17,1089.51
4/2/17,1098.78
4/3/17,1147.63
4/4/17,1143.75
4/5/17,1135.0
4/6/17,1190.6
4/7/17,1193.02
4/8/17,1184.82
4/9/17,1210.05
4/10/17,1213.34
4/11/17,1224.77
4/12/17,1216.5
4/13/17,1178.53
4/14/17,1183.44
4/15/17,1180.7
4/16/17,1184.79
4/17/17,1203.73
4/18/17,1217.6
4/19/17,1226.94
4/20/17,1255.4
4/21/17,1257.13
4/22/17,1244.37
4/23/17,1248.22
4/24/17,1248.32
4/25/17,1263.54
4/26/17,1284.84
4/27/17,1329.19
4/28/17,1320.05
4/29/17,1327.04
