coin_marketcap,coin_name,coin_position,coin_price,coin_supply
1.62899279176e+11,"BTC
Bitcoin",1,$9574.89,"$9,140,900,000"
76013424879.2,"ETH
Ethereum",2,$766.21,"$3,742,650,000"
34764743494.9,"XRP
Ripple",3,$0.887901,"$640,985,000"
26152369913.0,"BCH
Bitcoin Cash",4,$1528.69,"$1,229,220,000"
14866780777.6,"EOS
EOS",5,$17.85,"$2,053,750,000"
9689594436.81,"ADA
Cardano",6,$0.373725,"$293,420,000"
9215046435.04,"LTC
Litecoin",7,$163.49,"$570,584,000"
8202029575.26,"XLM
Stellar",8,$0.441636,"$71,825,400"
7388241649.94,"MIOTA
IOTA",9,$2.66,"$355,730,000"
5785656500.0,"NEO
NEO",10,$89.01,"$203,398,000"
5772572430.65,"TRX
TRON",11,$0.087798,"$666,270,000"
4082705027.86,"XMR
Monero",12,$255.27,"$93,275,200"
4068747549.7,"DASH
Dash",13,$505.78,"$120,514,000"
3925628999.56,"XEM
NEM",14,$0.436181,"$37,505,600"
2772943398.84,"VEN
VeChain",15,$5.27,"$135,970,000"
2361960547.71,"ETC
Ethereum Classic",16,$23.27,"$319,933,000"
2314040479.11,"USDT
Tether",17,$0.998662,"$3,859,440,000"
2059176059.71,"QTUM
Qtum",18,$23.25,"$234,085,000"
1893399547.97,"OMG
OmiseGO",19,$18.55,"$126,987,000"
1776768446.95,"ICX
ICON",20,$4.59,"$73,931,100"
1663782593.79,"BNB
Binance Coin",21,$14.59,"$97,707,200"
1502666996.22,"LSK
Lisk",22,$14.24,"$48,809,600"
1315758058.81,"BTG
Bitcoin Gold",23,$77.48,"$36,088,400"
1311556248.22,"NANO
Nano",24,$9.84,"$88,307,500"
1233321808.96,"BCN
Bytecoin",25,$0.006708,"$11,102,000"
1198648688.77,"XVG
Verge",26,$0.080164,"$207,660,000"
1191933810.11,"ZEC
Zcash",27,$310.67,"$74,579,700"
1156896697.67,"ONT
Ontology",28,$10.27,"$416,352,000"
1079756282.45,"AE
Aeternity",29,$4.63,"$30,629,300"
1042068759.14,"STEEM
Steem",30,$4.10,"$16,025,600"
986261747.556,"WAN
Wanchain",31,$9.29,"$62,020,000"
980105837.313,"SC
Siacoin",32,$0.028665,"$62,398,800"
950448124.79,"BTS
BitShares",33,$0.362599,"$31,525,500"
941983588.55,"ZIL
Zilliqa",34,$0.129317,"$70,760,100"
923646444.0,"BTM
Bytom",35,$0.935812,"$105,055,000"
882560843.042,"PPT
Populous",36,$23.85,"$6,678,840"
864672453.025,"BCD
Bitcoin Diamond",37,$5.64,"$7,963,030"
793802778.183,"BTCP
Bitcoin Private",38,$38.87,"$742,239"
770888139.01,"STRAT
Stratis",39,$7.80,"$16,014,200"
770078000.0,"WAVES
Waves",40,$7.70,"$44,603,800"
746814850.822,"ZRX
0x",41,$1.42,"$38,883,800"
710008080.027,"RHOC
RChain",42,$1.97,"$2,492,190"
698374818.222,"MKR
Maker",43,$1129.64,"$278,966"
672543648.348,"GNT
Golem",44,$0.806154,"$564,418,000"
624197766.259,"DOGE
Dogecoin",45,$0.005462,"$62,843,300"
607539421.443,"SNT
Status",46,$0.175059,"$62,252,900"
597243447.791,"HSR
Hshare",47,$13.91,"$265,896,000"
590592793.282,"DCR
Decred",48,$82.65,"$3,558,220"
559390000.0,"DGD
DigixDAO",49,$279.69,"$6,614,920"
556893120.0,"IOST
IOStoken",50,$0.066297,"$100,610,000"
538506394.09,"WTC
Waltonchain",51,$17.29,"$12,008,700"
535467557.433,"AION
Aion",52,$4.02,"$13,688,800"
535459588.315,"LRC
Loopring",53,$0.935997,"$18,128,800"
512845000.0,"BAT
Basic Attenti...",54,$0.512845,"$15,265,300"
497124018.902,"DGB
DigiByte",55,$0.048732,"$10,741,800"
492421600.0,"REP
Augur",56,$44.77,"$16,804,800"
481849397.218,"XIN
Mixin",57,$1146.91,"$597,130"
470600000.0,"ELF
aelf",58,$1.88,"$102,961,000"
459029662.678,"KMD
Komodo",59,$4.41,"$13,821,200"
441758575.688,"ARDR
Ardor",60,$0.442201,"$13,960,800"
416841000.0,"NAS
Nebulas",61,$11.74,"$56,028,800"
399834959.53,"MITH
Mithril",62,$1.31,"$138,035,000"
391267694.52,"ARK
Ark",63,$3.82,"$4,127,590"
351357916.954,"KNC
Kyber Network",64,$2.62,"$18,600,300"
347957409.767,"LOOM
Loom Network",65,$0.608356,"$73,695,400"
345255682.768,"PIVX
PIVX",66,$6.15,"$4,760,140"
334678988.483,"GAS
Gas",67,$33.04,"$5,725,780"
332841182.661,"KCS
KuCoin Shares",68,$4.40,"$1,349,920"
321514721.744,"SUB
Substratum",69,$0.839418,"$30,005,200"
321149656.993,"BTCD
BitcoinDark",70,$249.17,"$305,482"
320711232.0,"WICC
WaykiChain",71,$2.24,"$28,915,600"
316190907.894,"CTXC
Cortex",72,$2.11,"$127,405,000"
309627261.722,"MONA
MonaCoin",73,$5.23,"$2,631,120"
308218660.504,"RDD
ReddCoin",74,$0.010699,"$55,161,800"
302415435.259,"SYS
Syscoin",75,$0.567249,"$17,718,900"
301240800.0,"QASH
QASH",76,$0.860688,"$4,190,800"
293021485.134,"CENNZ
Centrality",77,$0.424798,"$384,487"
287527322.762,"DRGN
Dragonchain",78,$1.21,"$5,122,700"
287405847.657,"CNX
Cryptonex",79,$6.35,"$1,724,780"
280913551.584,"WAX
WAX",80,$0.451790,"$15,169,800"
279730275.966,"ETHOS
Ethos",81,$3.66,"$11,082,100"
278160960.904,"VERI
Veritaseum",82,$136.58,"$1,248,300"
273601757.405,"STORM
Storm",83,$0.066867,"$56,471,300"
272290235.644,"GTO
Gifto",84,$0.633676,"$156,634,000"
268536630.611,"FSN
Fusion",85,$9.05,"$7,626,710"
264108855.144,"BNT
Bancor",86,$5.12,"$19,893,600"
262686000.0,"GXS
GXChain",87,$4.38,"$19,323,100"
261072043.881,"SALT
SALT",88,$4.50,"$11,389,300"
259160223.26,"FCT
Factom",89,$29.63,"$1,703,630"
252534336.565,"FUN
FunFair",90,$0.053448,"$15,228,400"
247758290.325,"NPXS
Pundi X",91,$0.004085,"$3,088,220"
245135604.647,"NXT
Nxt",92,$0.245381,"$13,744,700"
244863127.222,"ELA
Elastos",93,$47.74,"$22,541,900"
242303908.78,"DCN
Dentacoin",94,$0.000745,"$380,565"
238087217.626,"ETN
Electroneum",95,$0.034597,"$5,665,770"
225033114.829,"ENG
Enigma",96,$3.01,"$11,984,900"
210860416.453,"XZC
ZCoin",97,$45.15,"$2,345,270"
210439329.776,"POWR
Power Ledger",98,$0.571856,"$13,717,900"
206139686.831,"NEBL
Neblio",99,$15.78,"$15,036,900"
204574917.027,"MANA
Decentraland",100,$0.194807,"$22,291,800"
