pair,price,source,volume
ETH/USD,$723.00,Bitfinex,"$164,745,000"
ETH/BTC,$723.16,Binance,"$120,087,000"
ETH/USDT,$723.53,OKEx,"$118,762,000"
ETH/USDT,$722.58,Huobi,"$113,757,000"
ETH/BTC,$722.65,OKEx,"$105,212,000"
ETH/USD,$719.17,GDAX,"$87,918,600"
ETH/USDT,$724.56,Binance,"$81,362,000"
ETH/KRW,$733.04,Bithumb,"$70,195,100"
EOS/ETH,$728.85,Binance,"$57,115,300"
ETH/BTC,$719.20,EXX,"$50,252,500"
CTXC/ETH,$717.85,Huobi,"$46,090,900"
ETH/CKUSD,$733.82,BCEX,"$44,959,700"
ETH/CNY,$731.10,TOPBTC,"$43,111,100"
BCH/ETH,$719.76,Lbank,"$42,700,400"
ETH/KRW,$731.19,Upbit,"$41,757,000"
ETH/EUR,$715.93,Kraken,"$39,569,100"
ETH/BTC,$723.41,Bit-Z,"$37,906,900"
ETH/USD,$721.02,Kraken,"$35,767,800"
ETH/BTC,$723.10,HitBTC,"$34,743,000"
ACT/ETH,$704.08,Huobi,"$28,399,200"
EOS/ETH,$722.67,Huobi,"$26,847,700"
CMT/ETH,$717.34,Huobi,"$25,753,400"
ETH/USD,$720.50,Gemini,"$24,919,400"
ETH/USDT,$723.08,CoinBene,"$24,814,500"
ETH/BTC,$720.27,Huobi,"$24,408,900"
ETH/BTC,$723.06,RightBTC,"$24,155,200"
ETH/USD,$721.00,Bitstamp,"$23,272,100"
TRX/ETH,$719.56,Huobi,"$23,057,300"
ETH/BTC,$721.94,CoinEgg,"$21,953,600"
ETH/BTC,$709.28,Simex,"$21,952,600"
ONT/ETH,$728.16,Binance,"$21,588,100"
ETH/USDT,$722.65,Gate.io,"$21,522,200"
ETH/BTC,$687.59,Coinhub,"$20,733,100"
NAS/ETH,$722.38,Huobi,"$20,123,500"
TRX/ETH,$725.03,Binance,"$18,608,500"
ETH/BTC,$704.35,BCEX,"$17,623,900"
EOS/ETH,$726.64,OKEx,"$16,167,000"
ETH/BTC,$722.72,Bitfinex,"$15,279,600"
ETH/BTC,$722.06,Poloniex,"$14,677,900"
ETH/BTC,$722.66,CoinTiger,"$13,538,500"
ZIL/ETH,$719.76,Binance,"$12,552,000"
ETH/USDT,$722.71,ZB.COM,"$12,407,800"
ETH/CKUSD,$779.68,Allcoin,"$12,384,700"
ETH/BTC,$726.50,Bibox,"$12,218,300"
HT/ETH,$724.36,Huobi,"$11,877,800"
BIX/ETH,$722.76,Bibox,"$11,787,000"
GNT/ETH,$723.59,Binance,"$11,646,600"
MITH/ETH,$677.85,OKEx,"$11,585,900"
ETH/BTC,$722.80,Bittrex,"$11,405,800"
ETH/KRW,$730.73,Coinone,"$11,396,500"
EOS/ETH,$724.87,Bitfinex,"$10,537,300"
ETH/BTC,$722.34,GDAX,"$10,491,200"
