Week,hodl
11/6/16,1
11/13/16,0
11/20/16,1
11/27/16,0
12/4/16,1
12/11/16,1
12/18/16,1
12/25/16,1
1/1/17,2
1/8/17,1
1/15/17,1
1/22/17,0
1/29/17,1
2/5/17,1
2/12/17,0
2/19/17,1
2/26/17,1
3/5/17,1
3/12/17,1
3/19/17,1
3/26/17,1
4/2/17,1
4/9/17,0
4/16/17,0
4/23/17,1
4/30/17,2
5/7/17,2
5/14/17,2
5/21/17,6
5/28/17,2
6/4/17,4
6/11/17,7
6/18/17,6
6/25/17,8
7/2/17,5
7/9/17,7
7/16/17,5
7/23/17,3
7/30/17,5
8/6/17,7
8/13/17,7
8/20/17,5
8/27/17,8
9/3/17,10
9/10/17,14
9/17/17,9
9/24/17,6
10/1/17,4
10/8/17,7
10/15/17,6
10/22/17,6
10/29/17,9
11/5/17,9
11/12/17,11
11/19/17,14
11/26/17,25
12/3/17,39
12/10/17,62
12/17/17,100
12/24/17,61
12/31/17,66
1/7/18,65
1/14/18,92
1/21/18,38
1/28/18,40
2/4/18,52
2/11/18,17
2/18/18,13
2/25/18,13
3/4/18,11
3/11/18,18
3/18/18,15
3/25/18,15
4/1/18,15
4/8/18,11
4/15/18,10
4/22/18,9
4/29/18,7
