2013,2014,2015,2016,2017,2018
,,,,,7433051611.0
,,,11832875.0,,
,,6751096.0,,,
,,,,,19643553237.0
,11731587.0,,,,
1477901418.0,5796072588.0,3104259465.0,7012886283.0,21485886958.0,150826854110.0
,,10836380.0,,,
367573.0,,,,,
,7230012.0,15885199.0,41329082.0,686581568.0,
,34902156.0,9971697.0,23272875.0,,
900369.0,,,,,
,,,,,9206695255.0
,,,,504718851.0,
,,,656459658.0,6310150888.0,60305777209.0
669208.0,,,,,
658825.0,,,,,
,,,,145606638.0,
56618930.0,294265167.0,52257619.0,154826672.0,806203532.0,8302548574.0
,,9931416.0,33338998.0,,
,,,,,5483114125.0
,,,,,4840821604.0
5306810.0,18956190.0,,,,
1198172.0,,,,,
,21091940.0,9332230.0,,,
,24186944.0,,,,
3950966.0,46636765.0,,,,
,,,,182972128.0,
919126.0,,,,,
,,,14166411.0,440658053.0,
,,12673973.0,,,6899147856.0
,,,11880427.0,341369135.0,
,41479931.0,256298056.0,255130284.0,1974110384.0,34083075400.0
