coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$3,104,259,465","BTC
Bitcoin",1,$220.26,"14,093,896","$19,059,889",2015
"$256,298,056","XRP
Ripple",2,$0.008032,"31,908,551,587
*","$181,583",2015
"$52,257,619","LTC
Litecoin",3,$1.36,"38,487,582","$1,050,922",2015
"$15,885,199","DASH
Dash",4,$2.99,"5,314,298","$62,975",2015
"$12,673,973","XLM
Stellar",5,$0.002630,"4,818,694,825
*","$4,945",2015
"$10,836,380","BTS
BitShares",6,$0.004326,"2,504,975,101
*","$33,760",2015
"$9,971,697","DOGE
Dogecoin",7,$0.000101,"99,165,204,840","$57,696",2015
"$9,931,416","MAID
MaidSafeCoin",8,$0.021945,"452,552,412
*","$8,116",2015
"$9,332,230","NXT
Nxt",9,$0.009332,"999,997,096
*","$17,963",2015
"$6,751,096","BANX
Banx",10,$1.34,"5,023,577
*","$12,164",2015
"$4,999,411","PPC
Peercoin",11,$0.224611,"22,258,129","$10,509",2015
"$4,088,064","XMR
Monero",12,$0.554902,"7,367,187","$72,930",2015
"$3,995,010","BCN
Bytecoin",13,$0.000023,"172,196,804,366","$6,315",2015
"$3,611,029","NMC
Namecoin",14,$0.316657,"11,403,589","$3,225",2015
"$2,909,413","YBC
YbCoin",15,$0.969804,"3,000,000
*","$50,268",2015
"$2,406,965","XPY
PayCoin",16,$0.154006,"15,629,005","$12,848",2015
"$2,255,240","XCP
Counterparty",17,$0.852205,"2,646,359
*","$1,137",2015
"$2,072,696","NSR
NuShares",18,$0.002538,"816,591,451
*","$1,533",2015
"$1,774,878","MONA
MonaCoin",19,$0.093334,"19,016,514","$6,872",2015
"$1,770,156","UNITY
SuperNET",20,$2.17,"816,061
*","$1,132",2015
"$1,669,338","ARCH
ARCHcoin",21,$0.102206,"16,333,046
*","$38,603",2015
"$1,593,136","USNBT
NuBits",22,$0.981480,"1,623,198
*","$3,191",2015
"$1,505,740","SWARM
Swarm",23,$0.015066,"99,945,431
*",$777,2015
"$1,196,889","XEM
NEM",24,$0.000133,"8,999,999,999
*","$2,822",2015
"$1,081,401","XUSD
CoinoUSD",25,$0.915711,"1,180,942
*",$558,2015
"$1,080,578","DEX
InstantDEX",26,$1.08,"1,000,000

*",$558,2015
"$1,077,374","BLK
BlackCoin",27,$0.014391,"74,866,874
*","$5,237",2015
"$1,066,625","BTCD
BitcoinDark",28,$0.878273,"1,214,457",$736,2015
"$1,050,961","GEMZ
GetGems",29,$0.011924,"88,135,217
*",Low Vol,2015
"$1,050,307","NOTE
DNotes",30,$0.010645,"98,669,944","$1,245",2015
"$989,006","FAIR
FairCoin",31,$0.019146,"51,657,163
*",Low Vol,2015
"$855,581","ETC
Ethercoin",32,$0.855581,"1,000,000
*",Low Vol,2015
"$849,708","CLAM
Clams",33,$1.30,"651,669
*","$14,042",2015
"$808,933","CELL
SolarFarm",34,$0.009208,"87,850,753
*",Low Vol,2015
"$796,005","OMNI
Omni",35,$1.48,"539,476
*",Low Vol,2015
"$722,629","RBT
Rimbit",36,$0.006436,"112,274,546
*",Low Vol,2015
"$716,310","START
Startcoin",37,$0.031832,"22,503,118","$6,792",2015
"$634,518","SJCX
Storjcoin X",38,$0.015303,"41,464,404
*",Low Vol,2015
"$613,732","SDC
ShadowCash",39,$0.094821,"6,472,542
*","$10,179",2015
"$559,933","BALLS
Snowballs",40,$0.000002,"254,158,454,494
*",Low Vol,2015
"$513,274","NXTV
NXTventure",41,$0.513274,"1,000,000
*",Low Vol,2015
"$482,238","DGB
DigiByte",42,$0.000119,"4,047,269,639","$2,804",2015
"$467,768","UNO
Unobtanium",43,$2.40,"194,698",Low Vol,2015
"$458,728","BLOCK
Blocknet",44,$0.045797,"10,016,642
*",Low Vol,2015
