coin_marketcap,coin_name,coin_position,coin_price,coin_supply,coin_volume,year
"$1,477,901,418","BTC
Bitcoin",1,$131.96,"11,199,394",Low Vol,2013
"$56,618,930","LTC
Litecoin",2,$3.15,"17,971,825",Low Vol,2013
"$5,306,810","NMC
Namecoin",3,$0.941349,"5,637,450",Low Vol,2013
"$3,950,966","PPC
Peercoin",4,$0.207422,"19,047,961",Low Vol,2013
"$1,198,172","NVC
Novacoin",5,$4.22,"284,187",Low Vol,2013
"$919,126","TRC
Terracoin",6,$0.342083,"2,686,848",Low Vol,2013
"$900,369","DVC
Devcoin",7,$0.000198,"4,538,778,116",Low Vol,2013
"$669,208","FRC
Freicoin",8,$0.031865,"21,001,455",Low Vol,2013
"$658,825","FTC
Feathercoin",9,$0.099509,"6,620,750",Low Vol,2013
"$367,573","CNC
CHNCoin",10,$0.071988,"5,106,021",Low Vol,2013
"$5,796,072,588","BTC
Bitcoin",1,$456.46,"12,697,974","$8,929,749",2014
"$294,265,167","LTC
Litecoin",2,$10.57,"27,831,404","$2,399,488",2014
"$46,636,765","PPC
Peercoin",3,$2.18,"21,351,649","$98,329",2014
"$41,479,931","XRP
Ripple",4,$0.005306,"7,817,889,792
*","$111,046",2014
"$34,902,156","DOGE
Dogecoin",5,$0.000469,"74,479,531,369","$810,055",2014
"$24,186,944","OMNI
Omni",6,$39.04,"619,478
*","$9,726",2014
"$21,091,940","NXT
Nxt",7,$0.021092,"999,997,120
*","$34,295",2014
"$18,956,190","NMC
Namecoin",8,$2.20,"8,614,778","$94,038",2014
"$11,731,587","BLK
BlackCoin",9,$0.157437,"74,516,085
*","$869,602",2014
"$7,230,012","DASH
Dash",10,$1.74,"4,154,671","$1,128,130",2014
"$3,104,259,465","BTC
Bitcoin",1,$220.26,"14,093,896","$19,059,889",2015
"$256,298,056","XRP
Ripple",2,$0.008032,"31,908,551,587
*","$181,583",2015
"$52,257,619","LTC
Litecoin",3,$1.36,"38,487,582","$1,050,922",2015
"$15,885,199","DASH
Dash",4,$2.99,"5,314,298","$62,975",2015
"$12,673,973","XLM
Stellar",5,$0.002630,"4,818,694,825
*","$4,945",2015
"$10,836,380","BTS
BitShares",6,$0.004326,"2,504,975,101
*","$33,760",2015
"$9,971,697","DOGE
Dogecoin",7,$0.000101,"99,165,204,840","$57,696",2015
"$9,931,416","MAID
MaidSafeCoin",8,$0.021945,"452,552,412
*","$8,116",2015
"$9,332,230","NXT
Nxt",9,$0.009332,"999,997,096
*","$17,963",2015
"$6,751,096","BANX
Banx",10,$1.34,"5,023,577
*","$12,164",2015
"$7,012,886,283","BTC
Bitcoin",1,$453.40,"15,467,311","$50,339,824",2016
"$656,459,658","ETH
Ethereum",2,$8.27,"79,372,107","$15,081,693",2016
"$255,130,284","XRP
Ripple",3,$0.007317,"34,868,679,462
*","$336,976",2016
"$154,826,672","LTC
Litecoin",4,$3.40,"45,487,516","$1,045,763",2016
"$41,329,082","DASH
Dash",5,$6.46,"6,396,717","$246,363",2016
"$33,338,998","MAID
MaidSafeCoin",6,$0.073669,"452,552,412
*","$319,210",2016
"$23,272,875","DOGE
Dogecoin",7,$0.000224,"104,043,702,879","$109,366",2016
"$14,166,411","XEM
NEM",8,$0.001574,"8,999,999,999
*","$18,471",2016
"$11,880,427","XMR
Monero",9,$1.02,"11,684,696","$122,455",2016
"$11,832,875","AMP
Synereo",10,$0.064031,"184,800,000
*","$38,633",2016
"$21,485,886,958","BTC
Bitcoin",1,$1318.00,"16,301,846","$369,247,414",2017
"$6,310,150,888","ETH
Ethereum",2,$69.21,"91,177,028","$130,621,410",2017
"$1,974,110,384","XRP
Ripple",3,$0.052108,"37,884,902,021
*","$89,875,468",2017
"$806,203,532","LTC
Litecoin",4,$15.85,"50,868,338","$48,897,697",2017
"$686,581,568","DASH
Dash",5,$94.55,"7,261,251","$35,945,908",2017
"$504,718,851","ETC
Ethereum Classic",6,$5.54,"91,161,793","$41,450,131",2017
"$440,658,053","XEM
NEM",7,$0.048962,"8,999,999,999
*","$4,419,689",2017
"$341,369,135","XMR
Monero",8,$23.74,"14,379,964","$11,492,753",2017
"$182,972,128","REP
Augur",9,$16.63,"11,000,000
*","$3,979,651",2017
"$145,606,638","GNT
Golem",10,$0.177569,"820,000,000
*","$7,790,567",2017
"$150,826,854,110","BTC
Bitcoin",1,$8876.31,"16,992,075","$6,966,437,035",2018
"$60,305,777,209","ETH
Ethereum",2,$609.33,"98,971,421","$2,509,335,495",2018
"$34,083,075,400","XRP
Ripple",3,$0.871182,"39,122,794,968
*","$1,345,215,120",2018
"$19,643,553,237","BCH
Bitcoin Cash",4,$1149.62,"17,087,020","$1,015,829,720",2018
"$9,206,695,255","EOS
EOS",5,$11.38,"808,905,871
*","$1,079,079,052",2018
"$8,302,548,574","LTC
Litecoin",6,$147.75,"56,193,912","$435,207,656",2018
"$7,433,051,611","ADA
Cardano",7,$0.286691,"25,927,070,538
*","$227,023,772",2018
"$6,899,147,856","XLM
Stellar",8,$0.371528,"18,569,641,066
*","$92,759,836",2018
"$5,483,114,125","MIOTA
IOTA",9,$1.97,"2,779,530,283
*","$77,542,122",2018
"$4,840,821,604","NEO
NEO",10,$74.47,"65,000,000
*","$146,509,892",2018
