"date","close","volume","open","high","low"

"2018/04/27","11.1100","74265930.0000","11.2000","11.3600","11.0200"
"2018/04/26","11.0400","144894800.0000","10.8700","11.1900","10.6100"
"2018/04/25","9.7100","85940620.0000","10.0600","10.0900","9.5600"
"2018/04/24","10.0900","44886420.0000","10.1900","10.3500","9.9500"
"2018/04/23","10.0400","42906640.0000","10.0900","10.1900","9.9700"
"2018/04/20","9.9900","38868090.0000","10.0500","10.1400","9.9500"
"2018/04/19","10.1100","57742160.0000","10.1800","10.3284","9.9900"
"2018/04/18","10.3600","42247940.0000","10.5100","10.6500","10.3300"
"2018/04/17","10.5200","45204700.0000","10.2800","10.5300","10.2000"
"2018/04/16","10.0900","28771670.0000","10.0000","10.1700","9.9000"
"2018/04/13","9.9300","38889900.0000","10.2000","10.2200","9.8800"
"2018/04/12","10.0800","47715150.0000","9.9800","10.1000","9.8200"
"2018/04/11","9.8200","28994160.0000","9.8700","10.0300","9.7900"
"2018/04/10","9.9800","42889140.0000","9.7500","10.0400","9.7100"
"2018/04/09","9.5300","38237650.0000","9.7500","9.8400","9.5200"
"2018/04/06","9.6100","51021630.0000","9.8300","10.1000","9.5000"
"2018/04/05","10.0200","65373470.0000","10.0500","10.2000","9.9100"
"2018/04/04","9.7700","67067670.0000","9.0800","9.8100","9.0400"
"2018/04/03","9.5500","54856380.0000","9.6300","9.7700","9.3000"
"2018/04/02","9.5300","64737130.0000","9.9900","10.1400","9.5100"
"2018/03/29","10.0500","48585690.0000","9.9400","10.0800","9.8100"
"2018/03/28","9.8100","64698640.0000","9.9900","10.1689","9.7900"
"2018/03/27","10.0000","68458540.0000","10.5100","10.5900","9.9000"
"2018/03/26","10.4400","75688790.0000","10.7100","10.8000","10.1800"
"2018/03/23","10.6300","54759180.0000","10.9100","10.9700","10.5700"
"2018/03/22","10.9100","59811510.0000","11.1000","11.2600","10.8500"
"2018/03/21","11.2600","44650310.0000","11.1600","11.3400","11.1100"
"2018/03/20","11.1100","64888650.0000","11.4100","11.5200","11.0000"
"2018/03/19","11.4300","53221710.0000","11.4100","11.7400","11.3510"
"2018/03/16","11.4700","37538020.0000","11.4900","11.5500","11.3200"
"2018/03/15","11.4600","63112840.0000","11.4300","11.5500","11.1900"
"2018/03/14","11.3600","80209850.0000","11.7000","11.7200","11.2600"
"2018/03/13","11.6400","174114400.0000","11.5000","12.0350","11.0950"
"2018/03/12","11.5200","83545210.0000","11.7600","11.8200","11.4800"
"2018/03/09","11.7000","89440590.0000","12.0300","12.0392","11.5800"
"2018/03/08","11.9700","75963420.0000","12.3950","12.5900","11.7400"
"2018/03/07","12.2400","127314100.0000","11.5800","12.8200","11.5500"
"2018/03/06","11.7600","45831700.0000","12.0100","12.0450","11.7100"
"2018/03/05","11.9100","43673270.0000","11.6900","12.0550","11.6100"
"2018/03/02","11.8100","57956290.0000","11.6700","11.9300","11.4300"
"2018/03/01","11.9000","62981050.0000","12.2600","12.2700","11.6600"
"2018/02/28","12.1100","43293160.0000","12.6600","12.7300","12.1000"
"2018/02/27","12.5300","55817200.0000","12.4300","12.8800","12.3900"
"2018/02/26","12.4200","42103360.0000","12.1400","12.4300","12.0500"
"2018/02/23","12.0700","33161500.0000","11.9500","12.1600","11.9400"
"2018/02/22","11.8400","37824310.0000","11.8200","11.9950","11.6300"
"2018/02/21","11.7200","40069650.0000","12.1200","12.1200","11.7200"
"2018/02/20","12.0200","46848120.0000","11.7200","12.1900","11.7100"
"2018/02/16","11.8200","47240490.0000","12.1100","12.2250","11.8200"
"2018/02/15","12.1900","57714520.0000","12.4000","12.6250","12.0700"
"2018/02/14","12.2000","51695890.0000","11.7200","12.3100","11.6300"
"2018/02/13","11.7800","32379740.0000","11.6000","11.8200","11.5300"
"2018/02/12","11.6800","62932090.0000","11.4700","11.8000","11.4300"
"2018/02/09","11.3100","85316260.0000","11.5400","11.5700","10.6300"
"2018/02/08","11.2200","56168660.0000","11.7200","11.8500","11.2100"
"2018/02/07","11.6000","55582730.0000","11.7000","11.9000","11.5300"
"2018/02/06","11.6500","86285130.0000","11.0400","11.7400","11.0000"
"2018/02/05","11.5700","116095400.0000","12.0500","12.1800","10.9300"
"2018/02/02","12.4500","79195600.0000","13.0500","13.0600","12.4300"
"2018/02/01","13.2500","67171010.0000","13.6200","13.8400","13.2100"
"2018/01/31","13.7400","140571100.0000","13.2400","13.8500","13.1500"
"2018/01/30","12.8700","87660690.0000","13.1200","13.2700","12.6900"
"2018/01/29","13.3200","66232190.0000","13.1300","13.4700","13.0500"
"2018/01/26","12.9500","43709320.0000","12.7000","12.9500","12.6200"
"2018/01/25","12.4100","42555860.0000","12.7800","12.9400","12.3200"
"2018/01/24","12.7100","41857520.0000","13.0200","13.0500","12.6000"
"2018/01/23","12.9400","46348240.0000","12.8200","12.9950","12.7600"
"2018/01/22","12.6500","34649300.0000","12.6100","12.7400","12.3700"
"2018/01/19","12.5900","46279510.0000","12.5600","12.8800","12.5400"
"2018/01/18","12.4700","62003200.0000","12.1800","12.6800","12.1500"
"2018/01/17","12.1800","38917310.0000","11.9000","12.1900","11.8200"
"2018/01/16","11.9100","41879890.0000","12.0500","12.2000","11.8000"
"2018/01/12","12.0200","46991180.0000","11.8200","12.0700","11.8000"
"2018/01/11","12.1400","37051170.0000","12.0700","12.1900","11.9001"
"2018/01/10","11.9600","52335790.0000","11.6300","12.1500","11.5600"
"2018/01/09","11.8200","62426620.0000","12.0000","12.0200","11.7100"
"2018/01/08","12.2800","63143340.0000","12.0100","12.3000","11.8500"
"2018/01/05","11.8800","63635850.0000","12.1900","12.2200","11.6600"
"2018/01/04","12.1200","109288400.0000","12.0950","12.4300","11.9700"
"2018/01/03","11.5500","153162800.0000","11.6100","12.1400","11.3600"
"2018/01/02","10.9800","43830470.0000","10.4200","11.0200","10.3400"
"2017/12/29","10.2800","26607910.0000","10.5700","10.5800","10.2700"
"2017/12/28","10.5500","18542550.0000","10.5700","10.6400","10.4300"
"2017/12/27","10.5300","22851820.0000","10.4500","10.7400","10.4000"
"2017/12/26","10.4600","20411300.0000","10.3800","10.5790","10.3400"
"2017/12/22","10.5400","50679050.0000","10.7500","10.7700","10.2000"
"2017/12/21","10.8900","21839960.0000","10.9800","11.0793","10.8700"
"2017/12/20","10.9800","31370190.0000","11.1000","11.1800","10.8000"
"2017/12/19","10.9500","43674640.0000","11.0000","11.1900","10.8700"
"2017/12/18","10.9800","63690700.0000","10.6000","11.0000","10.5100"
"2017/12/15","10.2900","45424770.0000","10.1300","10.3200","10.0200"
"2017/12/14","10.1300","28970230.0000","10.1000","10.1700","9.9600"
"2017/12/13","10.1100","41379990.0000","9.9700","10.2100","9.9500"
"2017/12/12","9.9000","36120990.0000","10.1300","10.1400","9.8800"
"2017/12/11","10.1600","29898330.0000","9.9700","10.1600","9.9600"
"2017/12/08","9.9400","34834780.0000","10.1500","10.2000","9.9200"
